,estimated_yield,matched_crop
"European elder, common elder, black elder, bour, bour tree, elder, sureau, Holunder, schwarzer Holunder, hyldebÃ¦r, sambuco, sabugueiro da Europa, rosa do bem fazer, Sambuci flos, Sambuci herba, Sambuci fructus",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"European hornbeam, yoke elm, charme commun, carpino bianco, Hainbuche, Steinbuche, carpa europeia, carpino",18548.6,chillies and peppers green capsicum spp and pimenta spp
"European larch, larice, LÃ¤rche, mÃ©lÃ¨ze, alerce",16846.9,leeks and other alliaceous vegetables
"European linden, little-leaf linden, small-leaved linden, small-leaved lime, lime tree, tilleul a petites feuilles, Linde, tiglio selvatico, tilia da Europa, tilia das folhas pequenas, tila de Europa, Carbo tiliae, Tiliae officinalis flos, Tiliae folium, Tilium cortex",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"European mountain ash, weeping mountain ash, rowan, rowanberry, rountree, quick beam, whitty, sorbier, Eberesche, Vogelbeerbaum, rogn, almindelig rÃ¸n, kotipihlaja, pihlaja, reyniviÂur, sorbo degli uccelli, sorbo degli uccellatori, Sorbi fructus, tramazeira, sorveira brava, lamagueira, escancerejo, cornogodinho",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"European oregano, wild majoram, winter marjoram, oregano, anrar, origan, dost, vild mejram, wilde marjolein, regamo, ouregao, dushitsa",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"European raspberry, red garden raspberry, red raspberry, hindberry, rasberry, raspberry, hindbÃ¦r, frambuesa, framboise, framboeza, sarca-ideia, Himbeere, Rubi idaei folium",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"European white hellebore, white hellebore, white false helleborine, hvid foldblad, veratro branco, flor da verdade",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"European yellow pond-lily, pond-lily, yellow pond-lily, spatterdock, cow lily, yellow cow lily, yellow pondlily, yellow water lily, brandy bottle",13822.2,edible roots and tubers with high starch or inulin content nec fresh
False hair grass,14911.8,other beans green
Fan grass,10990.0,grapes
Feather lovegrass,14210.4,other vegetables fresh nec
Feathertop grass,833.5,other pulses nec
Fine stem stylo,8133.8,other stone fruits
Fine thatching grass,10207.0,string beans
Fish hook wattle,8133.8,other stone fruits
Fish poison,8133.8,other stone fruits
Florida beggarweed,14911.8,other beans green
Folali,742.9,fonio
Fountain grass,23316.9,bananas
"French clover, crimson clover, Italian clover, carnation clover, scarlet clover, trefle du Rousillon, inkarnat klee, blut klee, trifoglio incarnato, trevo carmesim, trÃ©bol rojo",13822.2,edible roots and tubers with high starch or inulin content nec fresh
French lavender,14210.4,other vegetables fresh nec
"French tamarisk, kori, tamargueira francesa, tarafe",1247.7,other fibre crops raw nec
Frijolito,742.9,fonio
Galleta grass,16968.2,green garlic
Garden bristle grass,14911.8,other beans green
Georgina gidgee,3155.1,mixed grain
"German chamomile, Hungarian camomile, matricaria, wild camomile, Kamille, Chamomillae flos, Chamomillae cribratum, Chamomillae herba, Aetheroleum chamomillae",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"German iris, garden iris, garden flag, purple flag, common iris, pogon iris, lirio-cardeno, lirio azul",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Geta hole,2023.0,vetches
"Ghilghoza pine, Nejan pine, Neoza pine",17339.4,peaches and nectarines
Giant green fescue,908.0,coffee green
Giant star grass,11022.3,ginger raw
"Gidgee, Stinking Wattle",22566.7,onions and shallots green
"Golden wattle, Australian Golden Wattle, Pycnantha wattle, Broad-leved wattle, Sickle-leaved wattle, Sickleleaf, South Australian golden wattle, Gouewattel",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"Golden wreath wattle, Orange Wattle, Blue-leaf wattle, Port Jackson wattle, Weeping wattle, Port Jackson willow, Port Jackson acacia, Golden willow, Blue-leaved willow, Port Jackson, Goudwilger, Bloublaarwattel",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"Governor's plum, batoko plum, Indian plum, whip cane, jangoma, flacurtia",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Grecian foxglove, woolly foxglove, foxglove, digitale laineuse, wolliger Fingerhut, dedaleira felpuda, Digitalis lanatae folium",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
Green summer grass,14911.8,other beans green
Green wattle,8074.5,peas green
Guatemala grass,860.6,sisal raw
Guatemalan avocado,10963.3,avocados
"Guinea arrowroot, sweet corn root, touple nambours, allÃ©luia, curcuma d'AmÃ©rique, dale dale, agua bendita, cocurito, lerenes, topitambo, tambu, topinambur, topeetampo, topi-tamboo, topinambour, ariÃ¡, lÃ¡irem",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Guinea grains, grains of Paradise, alligator pepper, melagueta pepper, malagueta, semente do Paraiso",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Guinea grass, green panic, Hamilgrass, pasto Guinea, gramalote, gewone buffelsgras, blousaad soetgras, capim da Guine', capim guine' legitimo, erva da Guine', capim de feixe, painco grande, milha do sertao, murubu",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Hairy beggarweed,14911.8,other beans green
Hairy oat-grass,13014.6,chicory roots
Hairy spinifex,1171.7,chick peas dry
Hairy trident grass,22265.3,lettuce and chicory
Hairy vetch,2023.0,vetches
"Haitian pine, pinheiro do Haiti",9198.5,other citrus fruit nec
HallÂs Creek wattle,1914.5,cereals nec
"Harding grass, bulbous canary grass, toowoomba canary grass, tall canary grass, alpiste bulbeux, alpiste noueux, alpiste tubÃ©reux, phalaris noueux, herbe de Harding, rabillo de cordero, falaris bulbosa, falaris perenne, mata dulce, zacate de alpiste, koram, glanzgras, knolliges glanzgras, zwiebellieschgras, knolkanariegras, bljestac ostri, falaride tuberosa, haadingu gurasu, chafurit hapekaim, knÃ¶lflen, knolrietgras, abu damim, quambu, mozga bulwiasta, waskooskrzydlona, capim-doce, kanareecnik klubnevoj, kÃ¶ksapli yumrulu kanyas",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Himalayan cypress, Bhutan cypress, cipreste do Himalaia",2184.4,other stimulant spice and aromatic crops nec
"Himalayan poplar, bangikat poplar, peuplier de l'Himalaya, choupo do Himalaia, chopo de Himalaia, bagnu, banpipal, chalni, chalun, pahari pipal, safeda",18548.6,chillies and peppers green capsicum spp and pimenta spp
"Himalayan white pine, Asiatic white pine, blue pine, pin de l'Himalaya, pinheiro chorao do Himalaia",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Hippo grass,10990.0,grapes
Honduras pine,851.1,pigeon peas dry
Hook grass,10990.0,grapes
Horse marmalade,5962.3,maize corn
Horsetail grass,860.6,sisal raw
"Hungarian vetch, ervilha da Hungria, haba HÃºngara",6582.4,broad beans and horse beans green
"Huon pine, Macquarie pine, dacridio",17339.4,peaches and nectarines
Hybrid ryegrass,1171.7,chick peas dry
